description_symbol,source_text,target_text_th,status,usage_count,source_file,source_line
sTM21Desc,"The less the user
likes you, the more
powerful this move.",,pending,1,src/data/text/item_descriptions.h,1220
sTM22Desc,"Absorbs sunlight in
the 1st turn, then
attacks next turn.",,pending,1,src/data/text/item_descriptions.h,1225
sTM23Desc,"Slams the foe with
a hard tail. It may
lower DEFENSE.",,pending,1,src/data/text/item_descriptions.h,1230
sTM24Desc,"A powerful electric
attack that may
cause paralysis.",,pending,1,src/data/text/item_descriptions.h,1235
sTM25Desc,"Strikes the foe
with a thunderbolt.
It may paralyze.",,pending,1,src/data/text/item_descriptions.h,1240
sTM26Desc,"Causes a quake
that has no effect
on flying foes.",,pending,1,src/data/text/item_descriptions.h,1245
sTM27Desc,"The more the user
likes you, the more
powerful this move.",,pending,1,src/data/text/item_descriptions.h,1250
sTM28Desc,"Digs underground
the 1st turn, then
strikes next turn.",,pending,1,src/data/text/item_descriptions.h,1255
sTM29Desc,"A powerful psychic
attack that may
lower SP. DEF.",,pending,1,src/data/text/item_descriptions.h,1260
sTM30Desc,"Hurls a dark lump
at the foe. It may
lower SP. DEF.",,pending,1,src/data/text/item_descriptions.h,1265
sTM31Desc,"Destroys barriers
like LIGHT SCREEN
and causes damage.",,pending,1,src/data/text/item_descriptions.h,1270
sTM32Desc,"Creates illusory
copies to enhance
elusiveness.",,pending,1,src/data/text/item_descriptions.h,1275
sTM33Desc,"Creates a wall of
light that weakens
physical attacks.",,pending,1,src/data/text/item_descriptions.h,1280
sTM34Desc,"Zaps the foe with a
jolt of electricity
that never misses.",,pending,1,src/data/text/item_descriptions.h,1285
sTM35Desc,"Looses a stream of
fire that may burn
the foe.",,pending,1,src/data/text/item_descriptions.h,1290
sTM36Desc,"Hurls sludge at the
foe. It may poison
the foe.",,pending,1,src/data/text/item_descriptions.h,1295
sTM37Desc,"Causes a sandstorm
that hits the foe
over several turns.",,pending,1,src/data/text/item_descriptions.h,1300
sTM38Desc,"A powerful fire
attack that may
burn the foe.",,pending,1,src/data/text/item_descriptions.h,1305
sTM39Desc,"Stops the foe from
moving with rocks.
May lower SPEED.",,pending,1,src/data/text/item_descriptions.h,1310
sTM40Desc,"An extremely fast
attack that can't
be avoided.",,pending,1,src/data/text/item_descriptions.h,1315
sTM41Desc,"Prevents the foe
from using the same
move in a row.",,pending,1,src/data/text/item_descriptions.h,1320
sTM42Desc,"Raises ATTACK when
poisoned, burned,
or paralyzed.",,pending,1,src/data/text/item_descriptions.h,1325
sTM43Desc,"Adds an effect to
attack depending
on the location.",,pending,1,src/data/text/item_descriptions.h,1330
sTM44Desc,"The user sleeps for
2 turns to restore
health and status.",,pending,1,src/data/text/item_descriptions.h,1335
sTM45Desc,"Makes it tough to
attack a foe of the
opposite gender.",,pending,1,src/data/text/item_descriptions.h,1340
sTM46Desc,"While attacking,
it may steal the
foe's held item.",,pending,1,src/data/text/item_descriptions.h,1345
sTM47Desc,"Spreads hard-
edged wings and
slams into the foe.",,pending,1,src/data/text/item_descriptions.h,1350
sTM48Desc,"Switches abilities
with the foe on the
turn this is used.",,pending,1,src/data/text/item_descriptions.h,1355
sTM49Desc,"Steals the effects
of the move the foe
is trying to use.",,pending,1,src/data/text/item_descriptions.h,1360
sTM50Desc,"Enables full-power
attack, but sharply
lowers SP. ATK.",,pending,1,src/data/text/item_descriptions.h,1365
sHM01Desc,"Attacks the foe
with sharp blades
or claws.",,pending,1,src/data/text/item_descriptions.h,1371
sHM02Desc,"Flies up on the
first turn, then
attacks next turn.",,pending,1,src/data/text/item_descriptions.h,1376
sHM03Desc,"Creates a huge
wave, then crashes
it down on the foe.",,pending,1,src/data/text/item_descriptions.h,1381
sHM04Desc,"Builds enormous
power, then slams
the foe.",,pending,1,src/data/text/item_descriptions.h,1386
sHM05Desc,"Looses a powerful
blast of light that
reduces accuracy.",,pending,1,src/data/text/item_descriptions.h,1391
sHM06Desc,"A rock-crushingly
tough attack that
may lower DEFENSE.",,pending,1,src/data/text/item_descriptions.h,1396
sHM07Desc,"Attacks the foe
with enough power
to climb waterfalls.",,pending,1,src/data/text/item_descriptions.h,1401
sHM08Desc,"Dives underwater
the 1st turn, then
attacks next turn.",,pending,1,src/data/text/item_descriptions.h,1406
sOaksParcelDesc,"A parcel for PROF.
OAK from a POKéMON
MART's clerk.",,pending,1,src/data/text/item_descriptions.h,1412
sPokeFluteDesc,"A sweet-sounding
flute that awakens
POKéMON.",,pending,1,src/data/text/item_descriptions.h,1417
sSecretKeyDesc,"The key to the
CINNABAR ISLAND
GYM's entrance.",,pending,1,src/data/text/item_descriptions.h,1422
sBikeVoucherDesc,"A voucher for
obtaining a bicycle
from the BIKE SHOP.",,pending,1,src/data/text/item_descriptions.h,1427
sGoldTeethDesc,"Gold dentures lost
by the SAFARI
ZONE's WARDEN.",,pending,1,src/data/text/item_descriptions.h,1432
sOldAmberDesc,"A stone containing
the genes of an
ancient POKéMON.",,pending,1,src/data/text/item_descriptions.h,1437
sCardKeyDesc,"A card-type door
key used in SILPH
CO's office.",,pending,1,src/data/text/item_descriptions.h,1442
sLiftKeyDesc,"An elevator key
used in TEAM
ROCKET's HIDEOUT.",,pending,1,src/data/text/item_descriptions.h,1447
sHelixFossilDesc,"A piece of an
ancient marine
POKéMON's seashell.",,pending,1,src/data/text/item_descriptions.h,1452
sDomeFossilDesc,"A piece of an
ancient marine
POKéMON's shell.",,pending,1,src/data/text/item_descriptions.h,1457
sSilphScopeDesc,"SILPH CO's scope
makes unseeable
POKéMON visible.",,pending,1,src/data/text/item_descriptions.h,1462
sBicycleDesc,"A folding bicycle
that is faster than
the RUNNING SHOES.",,pending,1,src/data/text/item_descriptions.h,1467
sTownMapDesc,"Can be viewed
anytime. Shows your
present location.",,pending,1,src/data/text/item_descriptions.h,1472
sVSSeekerDesc,"A rechargeable unit
that flags battle-
ready TRAINERS.",,pending,1,src/data/text/item_descriptions.h,1477
sFameCheckerDesc,"Stores information
on famous people
for instant recall.",,pending,1,src/data/text/item_descriptions.h,1482
sTMCaseDesc,"A convenient case
that holds TMs and
HMs.",,pending,1,src/data/text/item_descriptions.h,1487
sBerryPouchDesc,"A convenient
container that
holds BERRIES.",,pending,1,src/data/text/item_descriptions.h,1492
sTeachyTVDesc,"A TV set tuned to
an advice program
for TRAINERS.",,pending,1,src/data/text/item_descriptions.h,1497
sTriPassDesc,"A pass for ferries
between ONE, TWO,
and THREE ISLAND.",,pending,1,src/data/text/item_descriptions.h,1502
sRainbowPassDesc,"For ferries serving
VERMILION and the
SEVII ISLANDS.",,pending,1,src/data/text/item_descriptions.h,1507
sTeaDesc,"A thirst-quenching
tea prepared by an
old lady.",,pending,1,src/data/text/item_descriptions.h,1512
sMysticTicketDesc,"A ticket required
to board the ship
to NAVEL ROCK.",,pending,1,src/data/text/item_descriptions.h,1517
sAuroraTicketDesc,"A ticket required
to board the ship
to BIRTH ISLAND.",,pending,1,src/data/text/item_descriptions.h,1522
sPowderJarDesc,"Stores BERRY
POWDER made using
a BERRY CRUSHER.",,pending,1,src/data/text/item_descriptions.h,1527
sRubyDesc,"An exquisite, red-
glowing gem that
symbolizes passion.",,pending,1,src/data/text/item_descriptions.h,1532
sSapphireDesc,"A brilliant blue gem
that symbolizes
honesty.",,pending,1,src/data/text/item_descriptions.h,1537
sMagmaEmblemDesc,"A medal-like item in
the same shape as
TEAM MAGMA's mark.",,pending,1,src/data/text/item_descriptions.h,1543
sOldSeaMapDesc,"A faded sea chart
that shows the way
to a certain island.",,pending,1,src/data/text/item_descriptions.h,1548
