ui_id,symbol,ui_areas,scope_class,current_text,translation_status,translation_wave,constraint_profile,font_id,x_start_px,window_width_px,available_width_px,hard_width_px,line_capacity,constraint_group_id,constraint_group_budget_px,constraint_status,constraint_confidence,source_file,source_line,source_evidence,mapping_note,qa_route
UI0202,gText_Floor2,START_SAVE,core_ui_label,Floor 2,pending,pilot_labels,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1576,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
UI0203,gText_Floor3,START_SAVE,core_ui_label,Floor 3,pending,pilot_labels,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1577,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
UI0204,gText_Floor4,START_SAVE,core_ui_label,Floor 4,pending,pilot_labels,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1578,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
UI0205,gText_Floor5,START_SAVE,core_ui_label,Floor 5,pending,pilot_labels,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1579,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
UI0206,gText_Floor6,START_SAVE,core_ui_label,Floor 6,pending,pilot_labels,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1580,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
UI0207,gText_Floor7,START_SAVE,core_ui_label,Floor 7,pending,pilot_labels,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1581,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
UI0210,gText_Frame,OPTION_MENU,core_ui_label,FRAME,pending,pilot_labels,OPTION_ROW_LABEL,FONT_NORMAL,8,208,96,96,1,,,mapped_exact_geometry,high,src/strings.c,1533,WIN_OPTIONS width=26; row label x=8; choices begin at x=104,Label must remain left of the choice region.,Inspect every Option Menu row with all values.
UI0211,gText_FrameType,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}TYPE,pending,pilot_labels,OPTION_FRAME_TYPE,FONT_NORMAL,104,208,24,24,1,,,mapped_exact_geometry,high,src/strings.c,1545,gText_FrameType at x=104; generated type number begins x=128,The dynamic frame number occupies the following region.,Cycle frame types 1 through 20.
UI0258,gText_MainMenuContinue,MAIN_MENU,core_ui_label,CONTINUE,pending,pilot_labels,MAIN_MENU_ENTRY,FONT_NORMAL,0,208,208,208,1,,,mapped_exact_geometry,high,src/strings.c,25,"MENU_WIDTH=26; AddTextPrinterParameterized3(... FONT_NORMAL, x=0, y=1)",,Boot each Main Menu variant and inspect every selectable entry.
UI0259,gText_MainMenuMysteryEvents,MAIN_MENU,core_ui_label,MYSTERY EVENTS,pending,pilot_labels,MAIN_MENU_ENTRY,FONT_NORMAL,0,208,208,208,1,,,mapped_exact_geometry,high,src/strings.c,29,"MENU_WIDTH=26; AddTextPrinterParameterized3(... FONT_NORMAL, x=0, y=1)",,Boot each Main Menu variant and inspect every selectable entry.
UI0260,gText_MainMenuMysteryGift,MAIN_MENU,core_ui_label,MYSTERY GIFT,pending,pilot_labels,MAIN_MENU_ENTRY,FONT_NORMAL,0,208,208,208,1,,,mapped_exact_geometry,high,src/strings.c,27,"MENU_WIDTH=26; AddTextPrinterParameterized3(... FONT_NORMAL, x=0, y=1)",,Boot each Main Menu variant and inspect every selectable entry.
UI0261,gText_MainMenuMysteryGift2,MAIN_MENU,core_ui_label,MYSTERY GIFT,pending,pilot_labels,MAIN_MENU_ENTRY,FONT_NORMAL,0,208,208,208,1,,,mapped_exact_geometry,high,src/strings.c,28,"MENU_WIDTH=26; AddTextPrinterParameterized3(... FONT_NORMAL, x=0, y=1)",,Boot each Main Menu variant and inspect every selectable entry.
UI0262,gText_MainMenuNewGame,MAIN_MENU,core_ui_label,เริ่มเกมส์,existing_thai_review,pilot_labels,MAIN_MENU_ENTRY,FONT_NORMAL,0,208,208,208,1,,,mapped_exact_geometry,high,src/strings.c,24,"MENU_WIDTH=26; AddTextPrinterParameterized3(... FONT_NORMAL, x=0, y=1)",,Boot each Main Menu variant and inspect every selectable entry.
UI0263,gText_MainMenuOption,MAIN_MENU,core_ui_label,OPTION,pending,pilot_labels,MAIN_MENU_ENTRY,FONT_NORMAL,0,208,208,208,1,,,mapped_exact_geometry,high,src/strings.c,26,"MENU_WIDTH=26; AddTextPrinterParameterized3(... FONT_NORMAL, x=0, y=1)",,Boot each Main Menu variant and inspect every selectable entry.
UI0266,gText_MenuBag,START_SAVE,core_ui_label,BAG,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1565,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0267,gText_MenuExit,START_SAVE,core_ui_label,EXIT,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1570,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0268,gText_MenuOption,START_SAVE,core_ui_label,OPTION,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1569,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0270,gText_MenuPokedex,START_SAVE,core_ui_label,POKéDEX,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1563,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0271,gText_MenuPokemon,START_SAVE,core_ui_label,POKéMON,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1564,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0272,gText_MenuPokenav,START_SAVE,core_ui_label,POKéNAV,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1566,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0273,gText_MenuRest,START_SAVE,core_ui_label,REST,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1572,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0274,gText_MenuRetire,START_SAVE,core_ui_label,RETIRE,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1571,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0275,gText_MenuSave,START_SAVE,core_ui_label,SAVE,pending,pilot_labels,START_MENU_ITEM,FONT_NORMAL,8,56,48,48,1,,,mapped_exact_geometry,high,src/strings.c,1568,AddStartMenuWindow width=7; action text printed at x=8,Player-name action uses a different dynamic path and is not in this batch.,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
UI0283,gText_MoveOkBack,MAIN_MENU,core_ui_label,{DPAD_NONE}MOVE  {A_BUTTON}OK  {B_BUTTON}BACK,pending,pilot_labels,NAMING_BANNER,FONT_SMALL,2,240,238,238,1,,,mapped_exact_geometry,high,src/strings.c,1646,WIN_BANNER: width=DISPLAY_TILE_WIDTH=30; FONT_SMALL at x=2,Button icon control codes count toward layout.,Open naming screen and inspect MOVE / OK / BACK banner.
UI0297,gText_MysteryEventsCantUse,MAIN_MENU,core_ui_prompt,"MYSTERY EVENTS can't be used while
the Wireless Adapter is attached.",pending,pilot_prompts,MAIN_MENU_ERROR,FONT_NORMAL,0,208,208,208,2 visible lines,,,mapped_exact_geometry,high,src/strings.c,32,"MENU_WIDTH_ERROR=26; AddTextPrinterParameterized(window 7, x=0, y=1)",Control codes may paginate or scroll.,"Trigger save corruption, battery, wireless, and Mystery feature errors."
UI0298,gText_MysteryGiftCantUse,MAIN_MENU,core_ui_prompt,"MYSTERY GIFT can't be used while
the Wireless Adapter is attached.",pending,pilot_prompts,MAIN_MENU_ERROR,FONT_NORMAL,0,208,208,208,2 visible lines,,,mapped_exact_geometry,high,src/strings.c,31,"MENU_WIDTH_ERROR=26; AddTextPrinterParameterized(window 7, x=0, y=1)",Control codes may paginate or scroll.,"Trigger save corruption, battery, wireless, and Mystery feature errors."
UI0301,gText_NamingScreenKeyboard_ABCDEF,MAIN_MENU,core_ui_prompt,{CLEAR 11}A{CLEAR 6}B{CLEAR 6}C{CLEAR 26}D{CLEAR 6}E{CLEAR 6}F{CLEAR 6} {CLEAR 30}.,pending,defer_input_architecture,NAMING_KEYBOARD_LAYOUT,FONT_NORMAL,0,152,152,,1,,,deferred_input_architecture,high,src/text_input_strings.c,14,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,Keyboard rows are fixed-layout input data.,Requires a separately designed Thai keyboard and input mapping.
UI0302,gText_NamingScreenKeyboard_GHIJKL,MAIN_MENU,core_ui_label,"{CLEAR 11}G{CLEAR 6}H{CLEAR 6}I{CLEAR 26}J{CLEAR 6}K{CLEAR 6}L{CLEAR 6} {CLEAR 30},",pending,defer_input_architecture,NAMING_KEYBOARD_LAYOUT,FONT_NORMAL,0,152,152,,1,,,deferred_input_architecture,high,src/text_input_strings.c,15,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,Keyboard rows are fixed-layout input data.,Requires a separately designed Thai keyboard and input mapping.
UI0303,gText_NamingScreenKeyboard_MNOPQRS,MAIN_MENU,core_ui_label,{CLEAR 11}M{CLEAR 6}N{CLEAR 6}O{CLEAR 26}P{CLEAR 6}Q{CLEAR 6}R{CLEAR 6}S{CLEAR 26}\x20,pending,defer_input_architecture,NAMING_KEYBOARD_LAYOUT,FONT_NORMAL,0,152,152,,1,,,deferred_input_architecture,high,src/text_input_strings.c,16,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,Keyboard rows are fixed-layout input data.,Requires a separately designed Thai keyboard and input mapping.
UI0306,gText_NamingScreenKeyboard_TUVWXYZ,MAIN_MENU,core_ui_label,{CLEAR 11}T{CLEAR 6}U{CLEAR 6}V{CLEAR 26}W{CLEAR 6}X{CLEAR 6}Y{CLEAR 6}Z{CLEAR 26}\x20,pending,defer_input_architecture,NAMING_KEYBOARD_LAYOUT,FONT_NORMAL,0,152,152,,1,,,deferred_input_architecture,high,src/text_input_strings.c,17,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,Keyboard rows are fixed-layout input data.,Requires a separately designed Thai keyboard and input mapping.
UI0307,gText_NamingScreenKeyboard_abcdef,MAIN_MENU,core_ui_prompt,{CLEAR 11}a{CLEAR 6}b{CLEAR 6}c{CLEAR 26}d{CLEAR 6}e{CLEAR 6}f{CLEAR 6} {CLEAR 30}.,pending,defer_input_architecture,NAMING_KEYBOARD_LAYOUT,FONT_NORMAL,0,152,152,,1,,,deferred_input_architecture,high,src/text_input_strings.c,10,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,Keyboard rows are fixed-layout input data.,Requires a separately designed Thai keyboard and input mapping.
UI0308,gText_NamingScreenKeyboard_ghijkl,MAIN_MENU,core_ui_label,"{CLEAR 11}g{CLEAR 6}h{CLEAR 7}i{CLEAR 27}j{CLEAR 7}k{CLEAR 7}l{CLEAR 7} {CLEAR 30},",pending,defer_input_architecture,NAMING_KEYBOARD_LAYOUT,FONT_NORMAL,0,152,152,,1,,,deferred_input_architecture,high,src/text_input_strings.c,11,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,Keyboard rows are fixed-layout input data.,Requires a separately designed Thai keyboard and input mapping.
UI0309,gText_NamingScreenKeyboard_mnopqrs,MAIN_MENU,core_ui_label,{CLEAR 11}m{CLEAR 6}n{CLEAR 6}o{CLEAR 26}p{CLEAR 6}q{CLEAR 7}r{CLEAR 6}s{CLEAR 27}\x20,pending,defer_input_architecture,NAMING_KEYBOARD_LAYOUT,FONT_NORMAL,0,152,152,,1,,,deferred_input_architecture,high,src/text_input_strings.c,12,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,Keyboard rows are fixed-layout input data.,Requires a separately designed Thai keyboard and input mapping.
UI0310,gText_NamingScreenKeyboard_tuvwxyz,MAIN_MENU,core_ui_label,{CLEAR 11}t{CLEAR 6}u{CLEAR 6}v{CLEAR 26}w{CLEAR 6}x{CLEAR 6}y{CLEAR 6}z{CLEAR 26}\x20,pending,defer_input_architecture,NAMING_KEYBOARD_LAYOUT,FONT_NORMAL,0,152,152,,1,,,deferred_input_architecture,high,src/text_input_strings.c,13,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,Keyboard rows are fixed-layout input data.,Requires a separately designed Thai keyboard and input mapping.
UI0340,gText_Option,OPTION_MENU,core_ui_label,OPTION,pending,pilot_labels,OPTION_HEADER,FONT_NORMAL,8,208,200,200,1,,,mapped_exact_geometry,high,src/strings.c,1528,WIN_HEADER width=26; gText_Option printed at x=8,,Open Option Menu and inspect header.
UI0341,gText_OptionMenuCancel,OPTION_MENU,core_ui_label,CANCEL,pending,pilot_labels,OPTION_CANCEL,FONT_NORMAL,8,208,200,200,1,,,mapped_exact_geometry,high,src/strings.c,1534,WIN_OPTIONS width=26; CANCEL printed at x=8,,Inspect final Option Menu row.
UI0348,gText_Peak,START_SAVE,core_ui_label,Peak,pending,pilot_labels,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1582,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
UI0382,gText_PkmnTransferredLanettesPC,MAIN_MENU,system_message,"{STR_VAR_2} was transferred to
LANETTE'S PC.\pIt was placed in\x20
BOX “{STR_VAR_1}.”",pending,defer_phase6_system,PC_TRANSFER_MESSAGE,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_deferred_phase6,high,data/text/pc_transfer.inc,7,Transferred-to-PC messages use the standard message printer,System message moved out of the Core UI translation wave.,Fill party/Box and test both SOMEONE and LANETTE variants.
UI0383,gText_PkmnTransferredLanettesPCBoxFull,MAIN_MENU,system_message,"BOX “{STR_VAR_3}” on
LANETTE'S PC was full.\p{STR_VAR_2} was transferred to
BOX “{STR_VAR_1}.”",pending,defer_phase6_system,PC_TRANSFER_MESSAGE,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_deferred_phase6,high,data/text/pc_transfer.inc,19,Transferred-to-PC messages use the standard message printer,System message moved out of the Core UI translation wave.,Fill party/Box and test both SOMEONE and LANETTE variants.
UI0384,gText_PkmnTransferredSomeonesPC,MAIN_MENU,system_message,"{STR_VAR_2} was transferred to
SOMEONE'S PC.\pIt was placed in\x20
BOX “{STR_VAR_1}.”",pending,defer_phase6_system,PC_TRANSFER_MESSAGE,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_deferred_phase6,high,data/text/pc_transfer.inc,1,Transferred-to-PC messages use the standard message printer,System message moved out of the Core UI translation wave.,Fill party/Box and test both SOMEONE and LANETTE variants.
UI0385,gText_PkmnTransferredSomeonesPCBoxFull,MAIN_MENU,system_message,"BOX “{STR_VAR_3}” on
SOMEONE'S PC was full.\p{STR_VAR_2} was transferred to
BOX “{STR_VAR_1}.”",pending,defer_phase6_system,PC_TRANSFER_MESSAGE,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_deferred_phase6,high,data/text/pc_transfer.inc,13,Transferred-to-PC messages use the standard message printer,System message moved out of the Core UI translation wave.,Fill party/Box and test both SOMEONE and LANETTE variants.
UI0390,gText_PkmnsNickname,MAIN_MENU,core_ui_prompt,{STR_VAR_1}'s nickname?,pending,pilot_prompts,NAMING_TITLE,FONT_NORMAL,8,136,128,128,1,,,mapped_exact_geometry,high,src/strings.c,1644,WIN_TEXT_ENTRY_BOX: width=17; title printed at x=8,Expanded placeholders must also fit.,"Open player, Pokémon, Box, and Walda naming screens."
UI0392,gText_PlayerSavedGame,START_SAVE,core_ui_prompt,{PLAYER} saved the game.,pending,pilot_prompts,STANDARD_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/text/save.inc,13,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",Control codes may paginate or scroll.,Trigger each prompt and inspect every page.
UI0432,gText_SafariBallStock,START_SAVE,core_ui_prompt,"SAFARI BALLS
Stock: {STR_VAR_1}",pending,pilot_prompts,SAFARI_STOCK,FONT_NORMAL,0,72,72,72,2 lines,,,mapped_exact_geometry,high,src/strings.c,1573,sWindowTemplate_SafariBalls width=9; text x=0,Expanded stock value must fit.,Open Start Menu inside Safari Zone.
UI0435,gText_SaveError,START_SAVE,system_message,"Save error.\pPlease exchange the
backup memory.",pending,pilot_prompts,STANDARD_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/text/save.inc,26,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",Control codes may paginate or scroll.,Trigger each prompt and inspect every page.
UI0436,gText_SaveFileCorrupted,MAIN_MENU,core_ui_prompt,"The save file is corrupted. The
previous save file will be loaded.",pending,pilot_prompts,MAIN_MENU_ERROR,FONT_NORMAL,0,208,208,208,2 visible lines,,,mapped_exact_geometry,high,src/strings.c,35,"MENU_WIDTH_ERROR=26; AddTextPrinterParameterized(window 7, x=0, y=1)",Control codes may paginate or scroll.,"Trigger save corruption, battery, wireless, and Mystery feature errors."
UI0437,gText_SaveFileErased,MAIN_MENU,core_ui_prompt,"The save file has been erased
due to corruption or damage.",pending,pilot_prompts,MAIN_MENU_ERROR,FONT_NORMAL,0,208,208,208,2 visible lines,,,mapped_exact_geometry,high,src/strings.c,36,"MENU_WIDTH_ERROR=26; AddTextPrinterParameterized(window 7, x=0, y=1)",Control codes may paginate or scroll.,"Trigger save corruption, battery, wireless, and Mystery feature errors."
UI0438,gText_SavingBadges,START_SAVE,core_ui_label,BADGES,pending,pilot_labels,SAVE_INFO_LABEL,FONT_NORMAL,0,112,112,,1,,,mapped_dynamic_pair,high,src/strings.c,1695,sSaveInfoWindowTemplate width=14; labels x=0; values right-aligned to x=112,"Must not collide with player name, count, or time value.","Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours."
UI0439,gText_SavingDontTurnOff,START_SAVE,core_ui_prompt,"SAVING…
DON'T TURN OFF THE POWER.",pending,pilot_prompts,STANDARD_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/text/save.inc,9,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",Control codes may paginate or scroll.,Trigger each prompt and inspect every page.
UI0440,gText_SavingDontTurnOffPower,START_SAVE,core_ui_prompt,"SAVING…
DON'T TURN OFF THE POWER.",pending,pilot_prompts,LINK_SAVE_MESSAGE,FONT_NORMAL,0,208,208,208,2 visible lines,,,mapped_exact_geometry,high,data/text/save.inc,31,sWindowTemplates_LinkBattleSave width=26; printer x=0,,Trigger save after link battle.
UI0441,gText_SavingPlayer,START_SAVE,core_ui_label,PLAYER,pending,pilot_labels,SAVE_INFO_LABEL,FONT_NORMAL,0,112,112,,1,,,mapped_dynamic_pair,high,src/strings.c,1694,sSaveInfoWindowTemplate width=14; labels x=0; values right-aligned to x=112,"Must not collide with player name, count, or time value.","Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours."
UI0442,gText_SavingPokedex,START_SAVE,core_ui_label,POKéDEX,pending,pilot_labels,SAVE_INFO_LABEL,FONT_NORMAL,0,112,112,,1,,,mapped_dynamic_pair,high,src/strings.c,1696,sSaveInfoWindowTemplate width=14; labels x=0; values right-aligned to x=112,"Must not collide with player name, count, or time value.","Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours."
UI0443,gText_SavingTime,START_SAVE,core_ui_label,TIME,pending,pilot_labels,SAVE_INFO_LABEL,FONT_NORMAL,0,112,112,,1,,,mapped_dynamic_pair,high,src/strings.c,1697,sSaveInfoWindowTemplate width=14; labels x=0; values right-aligned to x=112,"Must not collide with player name, count, or time value.","Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours."
UI0462,gText_Sound,OPTION_MENU,core_ui_label,SOUND,pending,pilot_labels,OPTION_ROW_LABEL,FONT_NORMAL,8,208,96,96,1,,,mapped_exact_geometry,high,src/strings.c,1532,WIN_OPTIONS width=26; row label x=8; choices begin at x=104,Label must remain left of the choice region.,Inspect every Option Menu row with all values.
UI0463,gText_SoundMono,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}MONO,pending,pilot_labels,OPTION_PAIR_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_sound,94,mapped_group_budget,high,src/strings.c,1543,left value begins x=104; right value right-aligned to x=198,Both translated values and spacing must fit together inside 94 px.,Cycle both values and inspect selection color changes.
UI0464,gText_SoundStereo,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}STEREO,pending,pilot_labels,OPTION_PAIR_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_sound,94,mapped_group_budget,high,src/strings.c,1544,left value begins x=104; right value right-aligned to x=198,Both translated values and spacing must fit together inside 94 px.,Cycle both values and inspect selection color changes.
UI0486,gText_TellHimTheWords,MAIN_MENU,core_ui_prompt,Tell him the words.,pending,pilot_prompts,NAMING_TITLE,FONT_NORMAL,8,136,128,128,1,,,mapped_exact_geometry,high,src/strings.c,1645,WIN_TEXT_ENTRY_BOX: width=17; title printed at x=8,Expanded placeholders must also fit.,"Open player, Pokémon, Box, and Walda naming screens."
UI0487,gText_TextSpeed,OPTION_MENU,core_ui_label,TEXT SPEED,pending,pilot_labels,OPTION_ROW_LABEL,FONT_NORMAL,8,208,96,96,1,,,mapped_exact_geometry,high,src/strings.c,1529,WIN_OPTIONS width=26; row label x=8; choices begin at x=104,Label must remain left of the choice region.,Inspect every Option Menu row with all values.
UI0488,gText_TextSpeedFast,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}FAST,pending,pilot_labels,OPTION_TRIPLE_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_text_speed,94,mapped_group_budget,high,src/strings.c,1538,first begins x=104; last right-aligned to x=198; middle position is width-derived,All three translated values must fit together inside 94 px.,Cycle all three values and inspect all selection states.
UI0489,gText_TextSpeedMid,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}MID,pending,pilot_labels,OPTION_TRIPLE_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_text_speed,94,mapped_group_budget,high,src/strings.c,1537,first begins x=104; last right-aligned to x=198; middle position is width-derived,All three translated values must fit together inside 94 px.,Cycle all three values and inspect all selection states.
UI0490,gText_TextSpeedSlow,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}SLOW,pending,pilot_labels,OPTION_TRIPLE_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_text_speed,94,mapped_group_budget,high,src/strings.c,1536,first begins x=104; last right-aligned to x=198; middle position is width-derived,All three translated values must fit together inside 94 px.,Cycle all three values and inspect all selection states.
UI0496,gText_ThisIsAPokemon,MAIN_MENU,system_message,This is what we call a “POKéMON.”{PAUSE 96}\p,pending,pilot_prompts,BIRCH_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,src/strings.c,106,sNewGameBirchSpeechTextWindows[0]: width=27; AddTextPrinterForMessage,Control codes may paginate or scroll.,Start New Game and inspect Birch speech pages.
UI0533,gText_WirelessNotConnected,MAIN_MENU,core_ui_prompt,"The Wireless Adapter is not
connected.",pending,pilot_prompts,MAIN_MENU_ERROR,FONT_NORMAL,0,208,208,208,2 visible lines,,,mapped_exact_geometry,high,src/strings.c,30,"MENU_WIDTH_ERROR=26; AddTextPrinterParameterized(window 7, x=0, y=1)",Control codes may paginate or scroll.,"Trigger save corruption, battery, wireless, and Mystery feature errors."
UI0551,gText_YourName,MAIN_MENU,core_ui_prompt,YOUR NAME?,pending,pilot_prompts,NAMING_TITLE,FONT_NORMAL,8,136,128,128,1,,,mapped_exact_geometry,high,src/strings.c,1642,WIN_TEXT_ENTRY_BOX: width=17; title printed at x=8,Expanded placeholders must also fit.,"Open player, Pokémon, Box, and Walda naming screens."
UI0555,sText_AlphabetUpperLower,MAIN_MENU,core_ui_prompt,ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz!,pending,defer_input_architecture,NAMING_CHARSET_LOOKUP,not_rendered,,,,,,,,deferred_input_architecture,high,src/naming_screen.c,198,sText_AlphabetUpperLower is iterated as a character lookup table,"This string is runtime lookup data, not a normal label.",Requires input-system design and dedicated unit/runtime tests.
