duplicate_group,english_raw,occurrence_count,source_labels,source_files
dup_00293,Groan…$,3,Route103_Text_IsabelleDefeated | Route109_Text_RickyDefeated | Route111_Text_HaydenDefeat,data/text/trainers.inc | data/text/trainers.inc | data/text/trainers.inc
dup_00294,HALEY,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00295,HALL OF FAME,2,gEasyChatWord_HallOfFame | gText_HallOfFame,src/data/easy_chat/easy_chat_group_events.h | src/strings.c
dup_00296,HAPPINESS,3,gEasyChatWord_Happiness | categoryName | categoryName,src/data/easy_chat/easy_chat_group_feelings.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00297,HELLO,2,gEasyChatWord_Hello | gText_Hello,src/data/easy_chat/easy_chat_group_greetings.h | src/strings.c
dup_00298,HERACROSS,2,nickname | inline_216,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00299,HITMONCHAN,3,nickname | nickname | inline_109,src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00300,HITMONLEE,2,nickname | inline_108,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00301,HITMONTOP,2,nickname | inline_239,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00302,HOENN,2,gText_DexHoenn | gText_Hoenn,src/strings.c | src/strings.c
dup_00303,HOUNDOOM,2,nickname | inline_231,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00304,HP,4,sText_HP2 | sText_HP | gText_HP3 | gText_HP4,src/battle_message.c | src/battle_message.c | src/strings.c | src/strings.c
dup_00305,HUGE POWER,2,gEasyChatWord_HugePower | inline_119,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00306,HUSTLE,2,gEasyChatWord_Hustle | inline_137,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00307,HYPER,2,gEasyChatWord_Hyper | gText_Hyper,src/data/easy_chat/easy_chat_group_events.h | src/strings.c
dup_00308,HYPER CUTTER,2,gEasyChatWord_HyperCutter | inline_134,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00309,HYPNOSIS,3,categoryName | categoryName | inline_98,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/text/move_names.h
dup_00310,Have you completely forgotten\nabout {STR_VAR_1}?$,2,LilycoveCity_PokemonTrainerFanClub_Text_HaveYouForgottenTrainer | LilycoveCity_PokemonTrainerFanClub_Text_HaveYouForgottenTrainer2,data/text/tv.inc | data/text/tv.inc
dup_00311,"Hello!\pIt's time for POKéMON TODAY!\pBIG SIS: Hi! Is everyone peachy and\nperky today?\pToday, we're going to look at {STR_VAR_1}'s\nPOKéMON {STR_VAR_2}!\pBIG BRO: Yeah! That's what we're going\nto do!$",2,gTVPokemonTodayFailedText00 | gTVPokemonTodaySuccessfulText00,data/text/tv.inc | data/text/tv.inc
dup_00312,"Hello, are you here for the ferry?\nMay I see your TICKET?$",3,BattleFrontier_OutsideWest_Text_MayISeeYourTicket | LilycoveCity_Harbor_Text_MayISeeYourTicket | SlateportCity_Harbor_Text_MayISeeYourTicket,data/maps/BattleFrontier_OutsideWest/scripts.inc | data/maps/LilycoveCity_Harbor/scripts.inc | data/maps/SlateportCity_Harbor/scripts.inc
dup_00313,"Hello, it's {STR_VAR_1}!\nI heard about you!\pThey said you won {STR_VAR_3} straight\nbattles at the {STR_VAR_2}.\pThat's special! I should try\nharder, too! See you!$",2,MatchCall_BattleFrontierStreakText2 | MatchCall_BattleFrontierRecordStreakText2,data/text/match_call.inc | data/text/match_call.inc
dup_00314,"Hello, {PLAYER}{KUN}.\nIt's me, {STR_VAR_1}.\lAre you keeping well?\pSomeone passed on word about you.\nHow you won {STR_VAR_3} straight battles\lat a place named {STR_VAR_2}?\pThat's quite the tale.\nSee you!$",2,MatchCall_BattleFrontierStreakText12 | MatchCall_BattleFrontierRecordStreakText12,data/text/match_call.inc | data/text/match_call.inc
dup_00315,Here you go!$,3,MauvilleCity_GameCorner_Text_HereYouGo | MauvilleCity_GameCorner_Text_HereYouGo2 | Route109_SeashoreHouse_Text_HereYouGo,data/maps/MauvilleCity_GameCorner/scripts.inc | data/maps/MauvilleCity_GameCorner/scripts.inc | data/maps/Route109_SeashoreHouse/scripts.inc
dup_00316,"Hey there, {PLAYER}!\nIt's me, {STR_VAR_1}.\pI heard you went on a tear at\nthe {STR_VAR_2}!\pA big {STR_VAR_3}-win streak…\nThat is a big record, isn't it?\pI'd better get it together, too!\nCatch you soon!$",2,MatchCall_BattleFrontierStreakText3 | MatchCall_BattleFrontierRecordStreakText3,data/text/match_call.inc | data/text/match_call.inc
dup_00317,"Hey!\nYou…\pWho are you?\pOh, you're {PLAYER}, aren't you?\nMoved in next door, right?\pI didn't know that you're a girl.\pDad, PROF. BIRCH, said that our new\nnext-door neighbor is a GYM LEADER's\lkid, so I assumed you'd be a guy.\pMy name's BRENDAN.\nSo, hi, neighbor!\pHuh? Hey, {PLAYER}, don't you have\na POKéMON?\pDo you want me to go catch you one?\pAw, darn, I forgot…\pI'm supposed to go help my dad catch\nsome wild POKéMON.\pSome other time, okay?$",2,RivalsHouse_1F_Text_BrendanWhoAreYou | RivalsHouse_2F_Text_BrendanWhoAreYou,data/maps/LittlerootTown_MaysHouse_1F/scripts.inc | data/maps/LittlerootTown_MaysHouse_2F/scripts.inc
dup_00318,"Hey, {PLAYER}{KUN}.\n{STR_VAR_1} here. What's up?\pThere's a rumor going around that\nyou strung together {STR_VAR_3} straight\lwins at the {STR_VAR_2}.\pI'd better step it up, too.\nSee you!$",2,MatchCall_BattleFrontierStreakText4 | MatchCall_BattleFrontierRecordStreakText4,data/text/match_call.inc | data/text/match_call.inc
dup_00319,"Hm?\nAh, you've obtained a POKéNAV.\pI will gladly register you.\nAfter all, I have plenty of money.$",2,Route104_Text_WinstonRegister1 | Route104_Text_WinstonRegister2,data/text/trainers.inc | data/text/trainers.inc
dup_00320,"Hmhm…\pThis one says it likes to battle!\nBut if it gets enough ouchies,\lit will turn sneaky!$",2,BattleFrontier_Lounge5_Text_NatureGirlTimid | BattleFrontier_Lounge5_Text_NatureGirlSassy,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00321,"Hmhm…\pThis one says it likes to battle!\nBut if it gets enough ouchies,\lit will worry about itself!$",2,BattleFrontier_Lounge5_Text_NatureGirlBrave | BattleFrontier_Lounge5_Text_NatureGirlImpish,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00322,Hmhm…\pThis one says it likes to battle!\nIt will battle even if it has a lot\lof ouchies!$,4,BattleFrontier_Lounge5_Text_NatureGirlHardy | BattleFrontier_Lounge5_Text_NatureGirlAdamant | BattleFrontier_Lounge5_Text_NatureGirlDocileNaiveQuietQuirky | BattleFrontier_Lounge5_Text_NatureGirlHasty,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00323,"Hmhm…\pThis one says it likes to be sneaky!\nBut if it gets enough ouchies,\lit will hit back!$",2,BattleFrontier_Lounge5_Text_NatureGirlLonely | BattleFrontier_Lounge5_Text_NatureGirlRelaxed,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00324,"Hmhm…\pThis one says it likes to be sneaky!\nBut if it gets enough ouchies,\lit will worry about itself!$",2,BattleFrontier_Lounge5_Text_NatureGirlBold | BattleFrontier_Lounge5_Text_NatureGirlJolly,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00325,Hmhm…\pThis one says it likes to be sneaky!\nIt says it likes to be sneaky even\lif it has a lot of ouchies!$,3,BattleFrontier_Lounge5_Text_NatureGirlLax | BattleFrontier_Lounge5_Text_NatureGirlSerious | BattleFrontier_Lounge5_Text_NatureGirlRash,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00326,"Hmhm…\pThis one says it looks after itself!\nBut if it gets enough ouchies,\lit will hit back!$",2,BattleFrontier_Lounge5_Text_NatureGirlNaughty | BattleFrontier_Lounge5_Text_NatureGirlGentle,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00327,"Hmhm…\pThis one says it looks after itself!\nBut if it gets enough ouchies,\lit will turn sneaky!$",2,BattleFrontier_Lounge5_Text_NatureGirlMild | BattleFrontier_Lounge5_Text_NatureGirlCareful,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00328,Hmhm…\pThis one says it looks after itself!\nIt says it worries about itself even\lif it has a lot of ouchies!$,2,BattleFrontier_Lounge5_Text_NatureGirlBashful | BattleFrontier_Lounge5_Text_NatureGirlCalm,data/maps/BattleFrontier_Lounge5/scripts.inc | data/maps/BattleFrontier_Lounge5/scripts.inc
dup_00329,Hmm…\nYou're pretty good.$,3,Route104_Text_BrendanDefeat | Route110_Text_BrendanDefeated | RustboroCity_Text_BrendanDefeat,data/maps/Route104/scripts.inc | data/maps/Route110/scripts.inc | data/maps/RustboroCity/scripts.inc
dup_00330,"Huh?\nWho… Who are you?\p… … … … … … … …\n… … … … … … … …\pOh, you're {PLAYER}{KUN}.\nSo your move was today.\pUm… I'm MAY.\nGlad to meet you!\pI…\nI have this dream of becoming friends\lwith POKéMON all over the world.\pI… I heard about you, {PLAYER}{KUN}, from\nmy dad, PROF. BIRCH.\pI was hoping that you would be nice,\n{PLAYER}{KUN}, and that we could be friends.\pOh, this is silly, isn't it?\nI… I've just met you, {PLAYER}{KUN}.\pEheheh…\pOh, no! I forgot!\pI was supposed to go help Dad catch\nsome wild POKéMON!\p{PLAYER}{KUN}, I'll catch you later!$",2,RivalsHouse_1F_Text_MayWhoAreYou | RivalsHouse_2F_Text_MayWhoAreYou,data/maps/LittlerootTown_MaysHouse_1F/scripts.inc | data/maps/LittlerootTown_MaysHouse_2F/scripts.inc
dup_00331,Hunh?\nYour BAG is crammed full.$,2,SootopolisCity_LotadAndSeedotHouse_Text_BagCrammedFull1 | SootopolisCity_LotadAndSeedotHouse_Text_BagCrammedFull2,data/maps/SootopolisCity_LotadAndSeedotHouse/scripts.inc | data/maps/SootopolisCity_LotadAndSeedotHouse/scripts.inc
dup_00332,I am saving your data.\nPlease wait.$,2,BattleFrontier_BattleDomePreBattleRoom_Text_SavingDataPleaseWait | BattleFrontier_BattleFactoryPreBattleRoom_Text_SavingDataPleaseWait,data/maps/BattleFrontier_BattleDomePreBattleRoom/scripts.inc | data/maps/BattleFrontier_BattleFactoryPreBattleRoom/scripts.inc
dup_00333,"I beg your pardon?\nYou're looking for a ship?\pI'm sorry, the ferry service isn't\navailable at present…$",2,LilycoveCity_Harbor_Text_FerryUnavailable | SlateportCity_Harbor_Text_FerryServiceUnavailable,data/maps/LilycoveCity_Harbor/scripts.inc | data/maps/SlateportCity_Harbor/scripts.inc
dup_00334,I can't be popular if I lose.$,2,PetalburgWoods_Text_CantBePopularIfILose | PetalburgWoods_Text_CantBePopularIfLose,data/maps/PetalburgWoods/scripts.inc | data/maps/PetalburgWoods/scripts.inc
dup_00335,I feel privileged for having seen\nyour POKéMON's exploits.\pThe results will be recorded.\nI must ask you to briefly wait.$,2,BattleFrontier_BattlePalaceLobby_Text_ResultsWillBeRecorded | VerdanturfTown_BattleTentLobby_Text_ResultsWillBeRecorded,data/maps/BattleFrontier_BattlePalaceLobby/scripts.inc | data/text/battle_tent.inc
dup_00336,I feel sad…$,2,Route123_Text_CameronDefeat | Route123_Text_CameronRematchDefeat,data/text/trainers.inc | data/text/trainers.inc
dup_00337,I give up!$,2,Route106_Text_DouglasDefeated | Route119_Text_KentDefeat,data/text/trainers.inc | data/text/trainers.inc
dup_00338,I hope to see a good match!$,2,RS_MysteryEventsHouse_Text_HopeToSeeAGoodMatch | SootopolisCity_MysteryEventsHouse_1F_Text_HopeToSeeGoodMatch,data/maps/MossdeepCity_GameCorner_1F/scripts.inc | data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc
dup_00339,"I learned at the TRAINER'S SCHOOL\nthat a POKéNAV can register TRAINERS.\pI don't really get what that means,\nso can I just try it?$",2,Route116_Text_JerryRegister1 | Route116_Text_JerryRegister2,data/text/trainers.inc | data/text/trainers.inc
dup_00340,I must save before I show you to\nthe BATTLE HALL. Is that okay?$,2,BattleFrontier_BattlePalaceLobby_Text_MustSaveBeforeChallenge2 | BattleFrontier_BattlePalaceLobby_Text_MustSaveBeforeChallenge,data/maps/BattleFrontier_BattlePalaceLobby/scripts.inc | data/maps/BattleFrontier_BattlePalaceLobby/scripts.inc
dup_00341,"I need to get more practices in,\nI guess.$",2,Route117_Text_MariaDefeat | Route117_Text_MariaRematchDefeat,data/text/trainers.inc | data/text/trainers.inc
dup_00342,I surrender!$,2,MossdeepCity_Gym_Text_SamanthaDefeat | Route125_Text_NolenDefeat,data/maps/MossdeepCity_Gym/scripts.inc | data/text/trainers.inc
dup_00343,I urge you to enjoy the rest of your\nBattle Choice challenge…$,2,BattleFrontier_BattlePikeRoomNormal_Text_EnjoyRestOfChallenge | BattleFrontier_BattlePikeRoomNormal_Text_EnjoyRestOfChallenge2,data/maps/BattleFrontier_BattlePikeRoomNormal/scripts.inc | data/maps/BattleFrontier_BattlePikeRoomNormal/scripts.inc
dup_00344,I use different types.,2,gText_MatchCallYoungster_Calvin_Pokemon | gText_MatchCallPkmnRanger_Jackson_Pokemon,src/data/text/match_call_messages.h | src/data/text/match_call_messages.h
dup_00345,I was beaten…$,2,FortreeCity_Gym_Text_AshleyDefeat | SootopolisCity_Gym_B1F_Text_OliviaDefeat,data/maps/FortreeCity_Gym/scripts.inc | data/maps/SootopolisCity_Gym_B1F/scripts.inc
dup_00346,I will return your POKéMON in exchange\nfor our rental POKéMON.$,2,BattleFrontier_BattleFactoryLobby_Text_ReturnMons | SlateportCity_BattleTentLobby_Text_ReturnMonsExchangeRentals,data/maps/BattleFrontier_BattleFactoryLobby/scripts.inc | data/text/battle_tent.inc
dup_00347,"I'll have to redo some courses at\nthe TRAINER'S SCHOOL.\lIf I don't, ROXANNE will be steamed.$",2,Route116_Text_JerryPostBattle | Route116_Text_JerryPostRematch,data/text/trainers.inc | data/text/trainers.inc
dup_00348,I'm COOLTRAINER {STR_VAR_1}!$,2,BattleFrontier_BattleTowerMultiPartnerRoom_Text_CoolTrainerMIntro | BattleFrontier_BattleTowerMultiPartnerRoom_Text_CoolTrainerFIntro,data/maps/BattleFrontier_BattleTowerMultiPartnerRoom/scripts.inc | data/maps/BattleFrontier_BattleTowerMultiPartnerRoom/scripts.inc
dup_00349,I'm TRIATHLETE {STR_VAR_1}!$,2,BattleFrontier_BattleTowerMultiPartnerRoom_Text_CyclingTriathleteFIntro | BattleFrontier_BattleTowerMultiPartnerRoom_Text_CyclingTriathleteMIntro,data/maps/BattleFrontier_BattleTowerMultiPartnerRoom/scripts.inc | data/maps/BattleFrontier_BattleTowerMultiPartnerRoom/scripts.inc
dup_00350,"I'm sorry to say this, but you didn't\nsave before you quit playing last time.\pAs a result, you have been disqualified\nfrom your challenge.$",2,BattleFrontier_BattleFactoryLobby_Text_DidntSaveBeforeQuitting | SlateportCity_BattleTentLobby_Text_DidntSaveBeforeQuitting,data/maps/BattleFrontier_BattleFactoryLobby/scripts.inc | data/text/battle_tent.inc
dup_00351,"I'm sorry, but an EGG cannot take part\nin a POKéMON CONTEST.$",2,LilycoveCity_ContestLobby_Text_EggCannotTakePart | LilycoveCity_ContestLobby_Text_EggCannotTakePart2,data/scripts/contest_hall.inc | data/scripts/contest_hall.inc
dup_00352,ICE,2,inline_468 | gEasyChatWord_Ice,src/battle_main.c | src/data/easy_chat/easy_chat_group_status.h
dup_00353,IDNo.,2,gText_IDNumber | gText_TrainerCardIDNo,src/strings.c | src/strings.c
dup_00354,ILLUMINATE,2,gEasyChatWord_Illuminate | inline_117,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00355,ILLUMISE,3,nickname | nickname | inline_389,src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00356,IMMUNITY,2,gEasyChatWord_Immunity | inline_99,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00357,INFO,5,sText_Info | gText_Info2 | gText_Info4 | gText_Info3 | gPCText_Info,src/data/union_room.h | src/strings.c | src/strings.c | src/strings.c | src/strings.c
dup_00358,INFORMATION,2,gEasyChatWord_Information | gText_Information,src/data/easy_chat/easy_chat_group_lifestyle.h | src/strings.c
dup_00359,INNER FOCUS,2,gEasyChatWord_InnerFocus | inline_121,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00360,INSOMNIA,2,gEasyChatWord_Insomnia | inline_97,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00361,INTIMIDATE,2,gEasyChatWord_Intimidate | inline_104,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00362,IRON,2,name | categoryName,src/data/items.h | src/data/pokemon/pokedex_entries.h
dup_00363,IRON ARMOR,3,categoryName | categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00364,ISAAC,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00365,ISABEL,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00366,ISAIAH,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00367,ISLAND CAVE,2,sMapName_ISLAND_CAVE | LandmarkName_IslandCave,src/data/region_map/region_map_entries.h | src/landmark.c
dup_00368,ITEMS,2,gText_ItemsPocket | gText_Items,src/strings.c | src/strings.c
dup_00369,IVYSAUR,2,nickname | inline_4,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00370,"If that {STR_VAR_1} is the best,\nI'll do as you suggest!\pWell, {PLAYER}, I have to roam free,\nbut don't you forget about me.\pSee you again, my smart friend!$",2,gText_ApprenticeMonThanks12 | gText_ApprenticeMoveThanks12,data/text/apprentice.inc | data/text/apprentice.inc
dup_00371,"In a Battle Swap event, you may use\nonly three POKéMON.\pWhether you are renting or swapping,\nyour team may not have two or more\lof the same POKéMON.$",2,BattleFrontier_BattleFactoryLobby_Text_ExplainBasicRules | SlateportCity_BattleTentLobby_Text_ExplainBasicRules,data/maps/BattleFrontier_BattleFactoryLobby/scripts.inc | data/text/battle_tent.inc
dup_00372,It appears to be for use at the\nLILYCOVE CITY port.\pWhy not give it a try and see what\nit is about?$,3,sText_AuroraTicketUseAtPort | sText_MysticTicketUseAtPort | sText_MysteryGiftOldSeaMapUseAtPort,data/scripts/gift_aurora_ticket.inc | data/scripts/gift_mystic_ticket.inc | data/scripts/gift_old_sea_map.inc
dup_00373,It cheapened the appeal\nof those ahead.$,2,gText_CheapenedAppealOfThoseAhead | gText_CheapenedAppealOfThoseAhead2,data/text/contest_strings.inc | data/text/contest_strings.inc
dup_00374,It cheapened\n{STR_VAR_2}'s appeal.$,2,gText_CheapenedMonsAppeal | gText_CheapenedMonsAppeal2,data/text/contest_strings.inc | data/text/contest_strings.inc
dup_00375,It filled its storage space.,2,gText_FilledStorageSpace | gText_FilledStorageSpace2,src/strings.c | src/strings.c
dup_00376,It tried to startle the\nother POKéMON.{PAUSE 15}{PAUSE 15}{PAUSE 15}{PAUSE 15}$,2,gText_TriedToStartleOtherMons | gText_TriedToStartleOtherPokemon,data/text/contest_strings.inc | data/text/contest_strings.inc
dup_00377,JACKI,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00378,JACKSON,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00379,JAGGED PASS,2,sMapName_JAGGED_PASS | LandmarkName_JaggedPass,src/data/region_map/region_map_entries.h | src/landmark.c
dup_00380,JAMES,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00381,"JAY: Oh, dear.\nWe've lost, my dear husband.$",2,MeteorFalls_1F_2R_Text_JayDefeat | MeteorFalls_1F_2R_Text_JayRematchDefeat,data/maps/MeteorFalls_1F_2R/scripts.inc | data/maps/MeteorFalls_1F_2R/scripts.inc
dup_00382,"JAY: Well, well, aren't you a young\nTRAINER?\pIf you'd care to battle with us, you'll\nhave to come back with more POKéMON.$",2,MeteorFalls_1F_2R_Text_JayNotEnoughMons | MeteorFalls_1F_2R_Text_JayRematchNotEnoughMons,data/maps/MeteorFalls_1F_2R/scripts.inc | data/maps/MeteorFalls_1F_2R/scripts.inc
dup_00383,JEFFREY,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00384,JELLYFISH,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00385,JENNY,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00386,JERRY,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00387,JESSICA,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00388,JET,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00389,JIGGLYPUFF,3,nickname | nickname | inline_41,src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00390,JOHN,2,trainerName | gText_John,src/data/battle_frontier/battle_frontier_trainers.h | src/strings.c
dup_00391,JOHN & JAY,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00392,"JOHN: Oh, my.\nWe've lost, dear wife.$",2,MeteorFalls_1F_2R_Text_JohnDefeat | MeteorFalls_1F_2R_Text_JohnRematchDefeat,data/maps/MeteorFalls_1F_2R/scripts.inc | data/maps/MeteorFalls_1F_2R/scripts.inc
dup_00393,JOHN: We've always battled POKéMON\ntogether as a twosome.\lWe've confidence in ourselves.$,2,MeteorFalls_1F_2R_Text_JohnIntro | MeteorFalls_1F_2R_Text_JohnRematchIntro,data/maps/MeteorFalls_1F_2R/scripts.inc | data/maps/MeteorFalls_1F_2R/scripts.inc
dup_00394,"JOHN: Well, well, what a young TRAINER!\pWill you battle with us? If so, you'll\nhave to return with more POKéMON.$",2,MeteorFalls_1F_2R_Text_JohnNotEnoughMons | MeteorFalls_1F_2R_Text_JohnRematchNotEnoughMons,data/maps/MeteorFalls_1F_2R/scripts.inc | data/maps/MeteorFalls_1F_2R/scripts.inc
dup_00395,JOLLY,2,categoryName | sJollyNatureName,src/data/pokemon/pokedex_entries.h | src/data/text/nature_names.h
dup_00396,JOLTEON,2,nickname | inline_137,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00397,JORGE,2,inline_396 | trainerName,src/data/battle_frontier/apprentice.h | src/data/contest_opponents.h
dup_00398,JUAN,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00399,JUMP,2,gText_Jump | gPCText_Jump,src/strings.c | src/strings.c
dup_00400,JYNX,2,nickname | inline_126,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00401,KANGASKHAN,2,nickname | inline_117,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00402,KAREN,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00403,KATELYN,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00404,KAY,2,trainerName | trainerName,src/data/battle_frontier/battle_frontier_trainers.h | src/data/contest_opponents.h
dup_00405,KEEN EYE,2,gEasyChatWord_KeenEye | inline_133,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00406,KELSEY,2,trainerName | trainerName,src/data/battle_frontier/battle_frontier_trainers.h | src/data/contest_opponents.h
dup_00407,KEY ITEMS,2,gText_KeyItemsPocket | gText_Key_Items,src/strings.c | src/strings.c
dup_00408,KINGLER,2,nickname | inline_101,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00409,KIRA & DAN,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00410,"KIRA: Oh, you don't have two POKéMON?\nWe'll have to battle some other time!$",2,AbandonedShip_Rooms2_1F_Text_KiraNotEnoughMons | AbandonedShip_Rooms2_1F_Text_KiraRematchNotEnoughMons,data/maps/AbandonedShip_Rooms2_1F/scripts.inc | data/maps/AbandonedShip_Rooms2_1F/scripts.inc
dup_00411,KOJI,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00412,KYOGRE,2,inline_406 | gText_ExpandedPlaceholder_Kyogre,src/data/text/species_names.h | src/strings.c
dup_00413,LADY,2,gEasyChatWord_Lady | inline_22,src/data/easy_chat/easy_chat_group_people.h | src/data/text/trainer_class_names.h
dup_00414,LAMAR,2,trainerName | trainerName,src/data/battle_frontier/battle_frontier_trainers.h | src/data/contest_opponents.h
dup_00415,LANTURN,2,nickname | inline_173,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00416,LAO,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00417,LAPRAS,2,nickname | inline_133,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00418,LAVA,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00419,LAYLA,2,inline_324 | inline_324,src/data/battle_frontier/apprentice.h | src/data/battle_frontier/apprentice.h
dup_00420,LEADER,2,gEasyChatWord_Leader | inline_34,src/data/easy_chat/easy_chat_group_battle.h | src/data/text/trainer_class_names.h
