symbol,source_line,source_text_en,target_text_th,old_definition,encoded_definition,definition_status,final_revision_status
gText_PkmnBecameHealthy,420,{STR_VAR_1} became healthy.{PAUSE_UNTIL_PRESS},{STR_VAR_1} หายเป็นปกติแล้ว{PAUSE_UNTIL_PRESS},"const u8 gText_PkmnBecameHealthy[] = _(""{STR_VAR_1} became healthy.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnBecameHealthy[] = _(""{STR_VAR_1} {252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{2}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{65}{0}{0}{244}{7}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnBurnHealed,416,{STR_VAR_1}'s burn was healed.{PAUSE_UNTIL_PRESS},"{STR_VAR_1} หายจาก
อาการไหม้แล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnBurnHealed[] = _(""{STR_VAR_1}'s burn was healed.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnBurnHealed[] = _(""{STR_VAR_1} {252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{103}{1}{0}{244}{7}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,revised_after_semantic_review
gText_PkmnCantLearnMove,405,"{STR_VAR_1} and {STR_VAR_2}
are not compatible.\p{STR_VAR_2} can't be
learned.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} กับ {STR_VAR_2}
เข้ากันไม่ได้\pจึงเรียนรู้
{STR_VAR_2} ไม่ได้{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnCantLearnMove[] = _(""{STR_VAR_1} and {STR_VAR_2}\nare not compatible.\p{STR_VAR_2} can't be\nlearned.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnCantLearnMove[] = _(""{STR_VAR_1} {252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1} {STR_VAR_2}\n{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}\p{252}{25}{196}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{136}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{144}{2}{0}{244}{5}{1}\n{STR_VAR_2} {252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnCantParticipate,471,That POKéMON can't participate.{PAUSE_UNTIL_PRESS},โปเกมอนตัวนั้นเข้าร่วมไม่ได้{PAUSE_UNTIL_PRESS},"const u8 gText_PkmnCantParticipate[] = _(""That POKéMON can't participate.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnCantParticipate[] = _(""{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{33}{2}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{88}{2}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{78}{1}{0}{244}{5}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnCantSwitchOut,382,"{STR_VAR_1} can't be switched
out!{PAUSE_UNTIL_PRESS}","สลับ {STR_VAR_1}
ออกไม่ได้!{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnCantSwitchOut[] = _(""{STR_VAR_1} can't be switched\nout!{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnCantSwitchOut[] = _(""{252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1} {STR_VAR_1}\n{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnCuredOfParalysis,414,"{STR_VAR_1} was cured of
paralysis.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} หายจาก
อาการอัมพาตแล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnCuredOfParalysis[] = _(""{STR_VAR_1} was cured of\nparalysis.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnCuredOfParalysis[] = _(""{STR_VAR_1} {252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{52}{2}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{35}{0}{0}{244}{8}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnCuredOfPoison,413,"{STR_VAR_1} was cured of its
poisoning.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} หายจาก
พิษแล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnCuredOfPoison[] = _(""{STR_VAR_1} was cured of its\npoisoning.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnCuredOfPoison[] = _(""{STR_VAR_1} {252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{74}{0}{0}{244}{8}{1}{252}{25}{44}{0}{0}{244}{8}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnFriendlyBaseVar2CantFall,426,"{STR_VAR_1} turned friendly.
The base {STR_VAR_2} can't fall!{PAUSE_UNTIL_PRESS}","{STR_VAR_1} สนิทกับคุณขึ้น
ค่า {STR_VAR_2} พื้นฐานลดลงไม่ได้!{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnFriendlyBaseVar2CantFall[] = _(""{STR_VAR_1} turned friendly.\nThe base {STR_VAR_2} can't fall!{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnFriendlyBaseVar2CantFall[] = _(""{STR_VAR_1} {252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{69}{0}{0}{244}{8}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{142}{1}{0}{244}{7}{1}{252}{25}{24}{0}{0}{244}{10}{1}{252}{25}{239}{0}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}\n{252}{25}{57}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1} {STR_VAR_2} {252}{25}{117}{2}{0}{244}{9}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{21}{0}{0}{244}{5}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,revised_after_semantic_review
gText_PkmnFriendlyBaseVar2Fell,424,"{STR_VAR_1} turned friendly.
The base {STR_VAR_2} fell!{PAUSE_UNTIL_PRESS}","{STR_VAR_1} สนิทกับคุณขึ้น
ค่า {STR_VAR_2} พื้นฐานลดลง!{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnFriendlyBaseVar2Fell[] = _(""{STR_VAR_1} turned friendly.\nThe base {STR_VAR_2} fell!{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnFriendlyBaseVar2Fell[] = _(""{STR_VAR_1} {252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{69}{0}{0}{244}{8}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{142}{1}{0}{244}{7}{1}{252}{25}{24}{0}{0}{244}{10}{1}{252}{25}{239}{0}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}\n{252}{25}{57}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1} {STR_VAR_2} {252}{25}{117}{2}{0}{244}{9}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{21}{0}{0}{244}{5}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnGotOverInfatuation,428,"{STR_VAR_1} got over its
infatuation.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} หายจาก
อาการหลงรักแล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnGotOverInfatuation[] = _(""{STR_VAR_1} got over its\ninfatuation.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnGotOverInfatuation[] = _(""{STR_VAR_1} {252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{46}{2}{0}{244}{5}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnHPRestoredByVar2,412,"{STR_VAR_1}'s HP was restored
by {STR_VAR_2} point(s).{PAUSE_UNTIL_PRESS}","HP ของ {STR_VAR_1} ฟื้นขึ้น
{STR_VAR_2} หน่วย{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnHPRestoredByVar2[] = _(""{STR_VAR_1}'s HP was restored\nby {STR_VAR_2} point(s).{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnHPRestoredByVar2[] = _(""HP {252}{25}{9}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1} {STR_VAR_1} {252}{25}{116}{2}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{239}{0}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}\n{STR_VAR_2} {252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{69}{1}{0}{244}{8}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,revised_after_semantic_review
gText_PkmnHasNoEnergy,385,"{STR_VAR_1} has no energy
left to battle!{PAUSE_UNTIL_PRESS}","{STR_VAR_1} ไม่มีแรง
ต่อสู้แล้ว!{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnHasNoEnergy[] = _(""{STR_VAR_1} has no energy\nleft to battle!{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnHasNoEnergy[] = _(""{STR_VAR_1} {252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{134}{0}{0}{244}{7}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{12}{0}{0}{244}{4}{1}\n{252}{25}{66}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{142}{2}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnHoldingItemCantHoldMail,401,"This POKéMON is holding an
item. It cannot hold MAIL.{PAUSE_UNTIL_PRESS}","โปเกมอนนี้ถือไอเทมอยู่
จึงถือจดหมายไม่ได้{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnHoldingItemCantHoldMail[] = _(""This POKéMON is holding an\nitem. It cannot hold MAIL.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnHoldingItemCantHoldMail[] = _(""{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}{252}{25}{10}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{248}{1}{0}{244}{6}{1}\n{252}{25}{196}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{10}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnNeedsToReplaceMove,406,"{STR_VAR_1} wants to learn the
move {STR_VAR_2}.\pHowever, {STR_VAR_1} already
knows four moves.\pShould a move be deleted and
replaced with {STR_VAR_2}?","{STR_VAR_1} อยากเรียนรู้
{STR_VAR_2}\pแต่ {STR_VAR_1} รู้จักท่า
ครบสี่ท่าแล้ว\pจะลบท่าหนึ่งแล้วแทนด้วย
{STR_VAR_2} ไหม?","const u8 gText_PkmnNeedsToReplaceMove[] = _(""{STR_VAR_1} wants to learn the\nmove {STR_VAR_2}.\pHowever, {STR_VAR_1} already\nknows four moves.\pShould a move be deleted and\nreplaced with {STR_VAR_2}?"");","const u8 gText_PkmnNeedsToReplaceMove[] = _(""{STR_VAR_1} {252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{136}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{144}{2}{0}{244}{5}{1}\n{STR_VAR_2}\p{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{66}{1}{0}{244}{7}{1} {STR_VAR_1} {252}{25}{144}{2}{0}{244}{5}{1}{252}{25}{28}{2}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{68}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}\n{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{167}{0}{0}{244}{6}{1}{252}{25}{68}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}\p{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{68}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{224}{0}{0}{244}{8}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{92}{1}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}\n{STR_VAR_2} {252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_PkmnNotHolding,397,"{STR_VAR_1} isn't holding
anything.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} ไม่ได้ถือ
อะไรอยู่{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnNotHolding[] = _(""{STR_VAR_1} isn't holding\nanything.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnNotHolding[] = _(""{STR_VAR_1} {252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}{252}{25}{10}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}\n{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{248}{1}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnSnappedOutOfConfusion,427,"{STR_VAR_1} snapped out of its
confusion.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} หายจาก
อาการสับสนแล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnSnappedOutOfConfusion[] = _(""{STR_VAR_1} snapped out of its\nconfusion.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnSnappedOutOfConfusion[] = _(""{STR_VAR_1} {252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{50}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnThawedOut,417,{STR_VAR_1} was thawed out.{PAUSE_UNTIL_PRESS},"{STR_VAR_1} หายจาก
อาการแช่แข็งแล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnThawedOut[] = _(""{STR_VAR_1} was thawed out.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnThawedOut[] = _(""{STR_VAR_1} {252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{62}{1}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{1}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnWasGivenItem,395,"{STR_VAR_1} was given the
{STR_VAR_2} to hold.{PAUSE_UNTIL_PRESS}","ให้ {STR_VAR_1} ถือ
{STR_VAR_2} แล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnWasGivenItem[] = _(""{STR_VAR_1} was given the\n{STR_VAR_2} to hold.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnWasGivenItem[] = _(""{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{109}{1}{0}{244}{7}{1} {STR_VAR_1} {252}{25}{10}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}\n{STR_VAR_2} {252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnWokeUp2,415,{STR_VAR_1} woke up.{PAUSE_UNTIL_PRESS},{STR_VAR_1} ตื่นแล้ว{PAUSE_UNTIL_PRESS},"const u8 gText_PkmnWokeUp2[] = _(""{STR_VAR_1} woke up.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnWokeUp2[] = _(""{STR_VAR_1} {252}{25}{34}{1}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_ReceivedItemFromPkmn,398,"Received the {STR_VAR_2}
from {STR_VAR_1}.{PAUSE_UNTIL_PRESS}","รับ {STR_VAR_2}
คืนจาก {STR_VAR_1} แล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_ReceivedItemFromPkmn[] = _(""Received the {STR_VAR_2}\nfrom {STR_VAR_1}.{PAUSE_UNTIL_PRESS}"");","const u8 gText_ReceivedItemFromPkmn[] = _(""{252}{25}{46}{2}{0}{244}{5}{1}{252}{25}{31}{0}{0}{244}{7}{1} {STR_VAR_2}\n{252}{25}{4}{1}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1} {STR_VAR_1} {252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
