species,display_key,thai_name,glyph_count,name_width_px,gender_budget_px,worst_case_total_px,hard_width_px,remaining_without_gender_px,status
SPECIES_SHELGON,SHELGON,,5,29,5,34,56,27,PASS
SPECIES_SALAMENCE,SALAMENCE,,6,38,5,43,56,18,PASS
SPECIES_BELDUM,BELDUM,,4,30,5,35,56,26,PASS
SPECIES_METANG,METANG,,5,29,5,34,56,27,PASS
SPECIES_METAGROSS,METAGROSS,,8,45,5,50,56,11,PASS
SPECIES_REGIROCK,REGIROCK,,6,33,5,38,56,23,PASS
SPECIES_REGICE,REGICE,,6,34,5,39,56,22,PASS
SPECIES_REGISTEEL,REGISTEEL,,6,34,5,39,56,22,PASS
SPECIES_KYOGRE,KYOGRE,,6,34,5,39,56,22,PASS
SPECIES_GROUDON,GROUDON,,6,36,5,41,56,20,PASS
SPECIES_RAYQUAZA,RAYQUAZA,,6,35,5,40,56,21,PASS
SPECIES_LATIAS,LATIAS,,6,33,5,38,56,23,PASS
SPECIES_LATIOS,LATIOS,,6,35,5,40,56,21,PASS
SPECIES_JIRACHI,JIRACHI,,4,21,5,26,56,35,PASS
SPECIES_DEOXYS,DEOXYS,,6,38,5,43,56,18,PASS
SPECIES_CHIMECHO,CHIMECHO,,3,20,5,25,56,36,PASS
